Sample,AMR,STRESS,VIRULENCE
P013,151.4376298,0,0
P014,2458.180988,18.31127745,0
P017,6484.39601,43.02880349,19.38302388
P019,2616.752157,7.568196904,2.693016732
P024,2003.480097,506.8948028,0
P027,4335.449845,14.85151004,7.987003944
P035,2773.227226,2.173271149,2.190758205
P039,3958.288101,14.60291437,0
P042,4376.46686,23.52540248,11.04420817
P045,2872.186,15.56580369,0.42708743
P048,4635.998504,58.13500953,2.958847316
P051,6648.265082,105.9744489,15.16562288
P052,1938.645999,0.777037003,0
P053,7509.506381,62.2105847,1.239351492
P055,2619.734388,8.207797242,34.79624648
P061,2110.231567,16.40180673,86.32065433
P063,3436.065523,2.69148077,4.888373193
P071,4222.364068,0,0
P075,6684.396611,33.27929889,0
P089,3542.148966,23.82013364,6.929012207
P090,3604.837521,3.944880097,9.916053663
P092,3380.811873,0,0
P097,3099.676685,35.08680264,101.9403565
P100,618.055787,41.53732709,0
P102,683.0841815,7.769492943,0
P111,563.6067206,1.085792373,0
P114,2473.373959,208.048161,0
P115,557.2280753,12.92882886,0
P119,843.0760565,0,0
P120,5234.646073,1061.490189,0
P121,1364.76866,38.39970535,0
P126,2487.520327,27.48246092,3.145009545
P133,5060.63067,5.157564046,22.3494442
P134,3896.658949,1.205010373,31.77746567
P137,5560.865257,109.0585337,42.68544845
P141,2558.125096,0,0
P146,7970.094559,1.117504166,56.93573775
P155,4517.640135,0,0
P158,3080.412932,57.78191292,8.038765233
P159,5962.476691,267.2223193,218.6897687
P160,5186.998688,100.9048215,104.9699726
P161,8156.654526,188.4745283,176.0903401
P163,3567.616397,36.39588127,1.546996561
P164,3466.581296,12.07965615,1.353487872
P166,7633.182633,0,0
P170,4739.535564,57.74228539,36.53058187
P174,7157.989631,411.3307278,40.19474919
P176,5261.658135,9.863564496,0
P180,4122.218957,67.33912099,54.08943665
P181,5007.918831,16.12325381,16.79505605
P186,4145.98999,15.29955205,35.51044678
P187,2795.658298,5.47458867,0
P188,2335.204103,17.29355007,0
P193,5991.054634,25.87924989,8.626416629
P199,4705.555199,38.45264069,4.825878945
P203,4831.171084,114.3745059,49.64765716
P211,5307.943906,8.914835118,0
P212,3723.809373,570.4377847,8.81581712
P213,4727.511834,39.01561765,62.64698111
P221,3427.191656,25.37853907,0.900242386
P253,7351.617366,177.3581737,213.260282
P261,2810.94819,21.29833512,49.73101616
P263,2166.487657,32.33567027,27.62706628
P274,2196.954177,28.38046144,3.006761726
P280,3043.649935,56.05538606,32.16154161
P290,2063.879059,44.54191006,2.717344728
P294,5119.94217,46.61041592,4.882015811
P295,5745.355809,36.87538718,6.357063182
P296,2838.319834,356.677249,0
P300,4913.167084,10.02414989,4.627076955
P302,1575.36864,0,0
P304,2993.29069,53.63671168,5.686351385
P315,1665.717636,30.53235582,0
P321,5285.799768,132.5324965,16.12265944
P339,5168.049076,231.7225633,36.64490717
P340,6584.629219,69.03482694,54.88327212
P351,4189.804532,9.834886371,47.92452255
P354,6472.972815,174.4588993,66.71501159
P365,5066.024383,34.18886232,6.247818016
P368,3009.302568,29.38147218,25.08779581
P369,6161.379011,136.5338453,0
P372,2411.080959,4.473594566,0
P395,14237.29041,1458.376294,2208.94427
P401,6332.084709,39.58681009,0
P404,8687.071346,183.2835438,112.0280467
P409,10559.80427,0,1.619353814
P420,6570.452631,0,0
P424,2061.445425,37.29382697,54.7915967
P431,1164.581668,22.32731069,0
P437,6071.894012,18.54521494,61.76135628
P440,2315.078448,1.309654003,0
P445,1800.696239,127.6981297,0
P451,5157.036644,172.6173344,0.477464681
P452,4716.880056,0,0
P454,5433.268993,4.252519697,16.58624907
P462,3896.159374,9.713783336,38.07552737
P492,5625.773357,2.656232427,24.86919764
P494,4994.767647,0,0
P504,2602.240596,11.66678872,26.92425594
P509,2779.986861,29.68522129,0
P512,4838.671023,0.63815402,0
P518,3413.488497,54.74629412,4.448136398
P524,2585.91731,1.575725979,80.59072686
P525,3815.807192,0.946359739,4.60035984
P531,5280.45564,80.64004318,417.311189
P541,3015.178229,12.46681272,0
P542,11576.16283,622.8803621,40.81474928
P545,2896.013925,66.35840441,153.0315932
P555,2061.978961,24.49405231,57.43046951
P558,11882.91886,118.4547649,308.824528
P560,1673.05557,27.91628656,0
P562,4455.506099,0,11.67564678
P566,6795.91832,266.9342254,1121.658814
P568,5153.704077,39.09077621,320.2803357
P571,5472.885738,75.78272239,18.53661567
P577,5102.232636,0,0
P584,3533.313928,126.352475,631.545456
P585,2653.3525,62.72730198,117.9674531
P588,5131.866664,72.2612374,66.03450806
P592,4407.53889,109.486875,44.80228225
P594,4866.569928,0,0
P599,4649.984809,29.59696457,371.5204592
P601,7493.345996,130.974184,45.63223835
P605,1890.475605,0,3.661820353
P609,4235.009163,18.93597545,66.87269975
P610,5127.636137,0,16.82232363
P616,1625.329984,61.52543092,2.057016782
P617,4209.719549,81.06893178,99.79943014
P619,2611.863482,8.907534507,0
P624,4980.125777,67.4668026,98.27303293
P625,7275.81586,0.720224817,20.2111721
P626,2131.187482,57.58887419,64.59377053
P631,4494.813787,63.71198279,9.270202346
P632,3392.821604,71.96633545,67.93670949
P638,4831.445318,0,0
P642,403.0625733,16.44328134,0
P646,5127.682964,27.27522155,17.66946037
P648,2633.080059,137.7040722,55.95799762
P658,404.2315409,0,0
P662,4361.238819,11.25093891,3.302427577
P664,4966.124298,7.004673371,49.45785382
P667,2549.055963,0,0
P675,4139.646401,54.53020136,0
P677,3339.42766,85.42786821,182.1467841
P679,2446.69125,25.40926749,14.7030585
P682,7080.368579,0,0
P695,5108.339631,412.1429513,221.2328796
P702,7501.835326,39.81112679,88.42288826
P714,5943.529605,0,3.922021183
P721,3073.342447,13.43181724,104.0962409
P722,5487.468939,83.79515978,11.51240183
P728,3624.636,0,0